ID,Name,Category,Type,Destination,Area,Price,Rating,Description
99,Pahari Homestay 853,Homestay,Stay,Lava,Forest Area,2038 INR,4.8,Homestay in Lava with great experience
100,Mountain Nest 681,Homestay,Stay,Darjeeling,Hill View,3671 INR,4.6,Homestay in Darjeeling with great experience
101,Tea Garden Resort 557,Resort,Stay,Dooars,City Center,7524 INR,3.1,Resort in Dooars with great experience
102,Mountain Nest 251,Homestay,Stay,Lava,Forest Area,5740 INR,3.1,Homestay in Lava with great experience
103,View Point 358,Attraction,Experience,Mirik,Hill View,,4.1,Attraction in Mirik with great experience
104,Food Valley 540,Restaurant,Food,Dooars,Forest Area,496 INR,4.9,Restaurant in Dooars with great experience
105,Pahari Homestay 867,Homestay,Stay,Kurseong,City Center,5120 INR,4.7,Homestay in Kurseong with great experience
106,Hotel Green View 567,Hotel,Stay,Lava,Hill View,3498 INR,3.0,Hotel in Lava with great experience
107,Safari 172,Activity,Experience,Dooars,City Center,,4.0,Activity in Dooars with great experience
108,Mountain Brew 791,Cafe,Food,Lava,Hill View,606 INR,4.2,Cafe in Lava with great experience
109,Forest Resort 340,Resort,Stay,Gangtok,MG Marg,3769 INR,3.3,Resort in Gangtok with great experience
110,Monastery 32,Attraction,Experience,Darjeeling,City Center,,4.6,Attraction in Darjeeling with great experience
111,Mountain Nest 676,Homestay,Stay,Gangtok,MG Marg,6922 INR,4.2,Homestay in Gangtok with great experience
112,Safari 417,Activity,Experience,Dooars,Forest Area,,3.2,Activity in Dooars with great experience
113,Boating 482,Activity,Experience,Mirik,Mall Road,,4.7,Activity in Mirik with great experience
114,Trekking 111,Activity,Experience,Kalimpong,Forest Area,,3.3,Activity in Kalimpong with great experience
115,Spice Route 674,Restaurant,Food,Darjeeling,Mall Road,400 INR,3.6,Restaurant in Darjeeling with great experience
116,Hilltop Cafe 881,Cafe,Food,Darjeeling,Tea Garden,472 INR,4.4,Cafe in Darjeeling with great experience
117,Luxury Hills Resort 910,Resort,Stay,Kalimpong,Hill View,3086 INR,4.5,Resort in Kalimpong with great experience
118,Hotel Green View 912,Hotel,Stay,Darjeeling,Forest Area,6326 INR,3.5,Hotel in Darjeeling with great experience
119,Tea Garden Resort 427,Resort,Stay,Kurseong,Forest Area,4556 INR,4.3,Resort in Kurseong with great experience
120,Mountain Nest 504,Homestay,Stay,Kalimpong,Forest Area,1038 INR,4.8,Homestay in Kalimpong with great experience
121,Peak Residency 68,Hotel,Stay,Dooars,Forest Area,3779 INR,3.2,Hotel in Dooars with great experience
122,Trekking 168,Activity,Experience,Dooars,City Center,,3.4,Activity in Dooars with great experience
123,Himalayan Wear 520,Clothing Store,Shopping,Dooars,City Center,,4.9,Clothing Store in Dooars with great experience
124,Tea Garden Resort 640,Resort,Stay,Darjeeling,Hill View,2976 INR,3.4,Resort in Darjeeling with great experience
125,Lake 746,Attraction,Experience,Mirik,Tea Garden,,4.0,Attraction in Mirik with great experience
126,Trekking 298,Activity,Experience,Darjeeling,Tea Garden,,3.3,Activity in Darjeeling with great experience
127,Cloud9 Cafe 329,Cafe,Food,Darjeeling,City Center,567 INR,4.7,Cafe in Darjeeling with great experience
128,Winter Hub 628,Clothing Store,Shopping,Gangtok,MG Marg,,4.1,Clothing Store in Gangtok with great experience
129,Mountain Brew 534,Cafe,Food,Darjeeling,City Center,851 INR,4.2,Cafe in Darjeeling with great experience
130,Hilltop Cafe 964,Cafe,Food,Darjeeling,Forest Area,230 INR,3.2,Cafe in Darjeeling with great experience
131,Trekking 516,Activity,Experience,Kurseong,City Center,,3.7,Activity in Kurseong with great experience
132,Lake 612,Attraction,Experience,Dooars,Forest Area,,3.2,Attraction in Dooars with great experience
133,Tea Garden Resort 813,Resort,Stay,Darjeeling,Forest Area,3534 INR,3.3,Resort in Darjeeling with great experience
134,Forest Resort 693,Resort,Stay,Dooars,Forest Area,1083 INR,5.0,Resort in Dooars with great experience
135,Trekking 229,Activity,Experience,Darjeeling,Tea Garden,,4.4,Activity in Darjeeling with great experience
136,Spice Route 202,Restaurant,Food,Gangtok,MG Marg,671 INR,4.7,Restaurant in Gangtok with great experience
137,Pahari Homestay 709,Homestay,Stay,Lava,City Center,1577 INR,4.0,Homestay in Lava with great experience
138,Waterfall 18,Attraction,Experience,Gangtok,MG Marg,,4.3,Attraction in Gangtok with great experience
139,Hill Stay Inn 798,Hotel,Stay,Kalimpong,Mall Road,1514 INR,4.1,Hotel in Kalimpong with great experience
140,Toy Train Ride 794,Activity,Experience,Darjeeling,City Center,,4.2,Activity in Darjeeling with great experience
141,Sunrise Coffee 161,Cafe,Food,Kalimpong,Hill View,312 INR,3.5,Cafe in Kalimpong with great experience
142,Cloud9 Cafe 27,Cafe,Food,Kurseong,Mall Road,566 INR,4.8,Cafe in Kurseong with great experience
143,Waterfall 944,Attraction,Experience,Kalimpong,City Center,,4.7,Attraction in Kalimpong with great experience
144,Mountain Style 990,Clothing Store,Shopping,Kurseong,Hill View,,4.8,Clothing Store in Kurseong with great experience
145,Cloud9 Cafe 913,Cafe,Food,Mirik,City Center,976 INR,4.2,Cafe in Mirik with great experience
146,Toy Train Ride 196,Activity,Experience,Darjeeling,Tea Garden,,5.0,Activity in Darjeeling with great experience
147,Skyline Hotel 124,Hotel,Stay,Gangtok,MG Marg,6011 INR,3.3,Hotel in Gangtok with great experience
148,Tea Garden Resort 22,Resort,Stay,Mirik,Hill View,1006 INR,3.6,Resort in Mirik with great experience
149,Mountain Nest 127,Homestay,Stay,Kurseong,Hill View,2134 INR,3.5,Homestay in Kurseong with great experience
150,Cloud9 Cafe 378,Cafe,Food,Kurseong,Tea Garden,546 INR,3.7,Cafe in Kurseong with great experience
151,Toy Train Ride 992,Activity,Experience,Darjeeling,Mall Road,,3.7,Activity in Darjeeling with great experience
152,Valley View Stay 509,Homestay,Stay,Gangtok,Mall Road,2657 INR,4.2,Homestay in Gangtok with great experience
153,Toy Train Ride 982,Activity,Experience,Darjeeling,City Center,,4.1,Activity in Darjeeling with great experience
154,Hotel Green View 256,Hotel,Stay,Gangtok,City Center,5470 INR,3.1,Hotel in Gangtok with great experience
155,Valley View Stay 860,Homestay,Stay,Kurseong,City Center,2675 INR,3.2,Homestay in Kurseong with great experience
156,Mountain Style 337,Clothing Store,Shopping,Mirik,Tea Garden,,4.7,Clothing Store in Mirik with great experience
157,Spice Route 75,Restaurant,Food,Lava,Hill View,653 INR,3.7,Restaurant in Lava with great experience
158,Mountain Style 926,Clothing Store,Shopping,Darjeeling,Hill View,,4.2,Clothing Store in Darjeeling with great experience
159,Tea Garden Resort 952,Resort,Stay,Mirik,Tea Garden,1413 INR,3.1,Resort in Mirik with great experience
160,Lake 501,Attraction,Experience,Gangtok,City Center,,3.5,Attraction in Gangtok with great experience
161,Winter Hub 459,Clothing Store,Shopping,Kurseong,City Center,,3.9,Clothing Store in Kurseong with great experience
162,Himalayan Wear 395,Clothing Store,Shopping,Lava,Forest Area,,4.0,Clothing Store in Lava with great experience
163,Mountain Nest 998,Homestay,Stay,Kalimpong,Hill View,4202 INR,3.2,Homestay in Kalimpong with great experience
164,Pahari Homestay 39,Homestay,Stay,Darjeeling,Tea Garden,3412 INR,5.0,Homestay in Darjeeling with great experience
165,Sunrise Coffee 35,Cafe,Food,Darjeeling,Hill View,954 INR,4.9,Cafe in Darjeeling with great experience
166,Himalayan Dine 854,Restaurant,Food,Mirik,Hill View,372 INR,4.7,Restaurant in Mirik with great experience
167,Cafe Aroma 141,Cafe,Food,Mirik,Tea Garden,274 INR,3.8,Cafe in Mirik with great experience
168,Trekking 801,Activity,Experience,Gangtok,MG Marg,,4.8,Activity in Gangtok with great experience
169,Spice Route 366,Restaurant,Food,Lava,City Center,395 INR,4.5,Restaurant in Lava with great experience
170,Cafe Aroma 351,Cafe,Food,Darjeeling,Mall Road,587 INR,4.5,Cafe in Darjeeling with great experience
171,Himalayan Wear 310,Clothing Store,Shopping,Gangtok,MG Marg,,3.2,Clothing Store in Gangtok with great experience
172,Forest Resort 658,Resort,Stay,Darjeeling,City Center,7628 INR,4.2,Resort in Darjeeling with great experience
173,Hill Stay Inn 710,Hotel,Stay,Gangtok,MG Marg,6208 INR,4.6,Hotel in Gangtok with great experience
174,Toy Train Ride 723,Activity,Experience,Darjeeling,Mall Road,,4.9,Activity in Darjeeling with great experience
175,Mountain Brew 800,Cafe,Food,Kalimpong,Forest Area,658 INR,3.1,Cafe in Kalimpong with great experience
176,Pahari Homestay 269,Homestay,Stay,Darjeeling,Tea Garden,1298 INR,3.6,Homestay in Darjeeling with great experience
177,View Point 81,Attraction,Experience,Kalimpong,City Center,,3.4,Attraction in Kalimpong with great experience
178,Forest Resort 543,Resort,Stay,Gangtok,MG Marg,5689 INR,3.9,Resort in Gangtok with great experience
179,Sunrise Coffee 414,Cafe,Food,Darjeeling,Mall Road,633 INR,4.9,Cafe in Darjeeling with great experience
180,Hotel Green View 450,Hotel,Stay,Gangtok,MG Marg,6998 INR,4.3,Hotel in Gangtok with great experience
181,Winter Hub 458,Clothing Store,Shopping,Kurseong,Hill View,,3.4,Clothing Store in Kurseong with great experience
182,Food Valley 870,Restaurant,Food,Kalimpong,Hill View,865 INR,4.1,Restaurant in Kalimpong with great experience
183,Luxury Hills Resort 722,Resort,Stay,Gangtok,MG Marg,5422 INR,4.1,Resort in Gangtok with great experience
184,Hill Stay Inn 894,Hotel,Stay,Mirik,Tea Garden,6712 INR,3.5,Hotel in Mirik with great experience
185,Peak Residency 745,Hotel,Stay,Kalimpong,City Center,7601 INR,4.4,Hotel in Kalimpong with great experience
186,Hill Stay Inn 776,Hotel,Stay,Darjeeling,Tea Garden,4274 INR,4.9,Hotel in Darjeeling with great experience
187,Winter Hub 180,Clothing Store,Shopping,Dooars,Forest Area,,4.0,Clothing Store in Dooars with great experience
188,Food Valley 382,Restaurant,Food,Kurseong,Forest Area,850 INR,4.9,Restaurant in Kurseong with great experience
189,Cloud9 Cafe 965,Cafe,Food,Dooars,Forest Area,780 INR,4.8,Cafe in Dooars with great experience
190,Mountain Style 826,Clothing Store,Shopping,Dooars,Forest Area,,4.5,Clothing Store in Dooars with great experience
191,Mountain Style 239,Clothing Store,Shopping,Gangtok,Mall Road,,4.3,Clothing Store in Gangtok with great experience
192,Winter Hub 932,Clothing Store,Shopping,Kurseong,Tea Garden,,4.0,Clothing Store in Kurseong with great experience
193,Forest Resort 378,Resort,Stay,Dooars,City Center,6961 INR,4.2,Resort in Dooars with great experience
194,Tea Garden Resort 733,Resort,Stay,Gangtok,City Center,1520 INR,4.3,Resort in Gangtok with great experience
195,Safari 692,Activity,Experience,Dooars,City Center,,4.4,Activity in Dooars with great experience
196,Hill Stay Inn 486,Hotel,Stay,Kurseong,Forest Area,2228 INR,4.9,Hotel in Kurseong with great experience
197,Cafe Aroma 66,Cafe,Food,Gangtok,Hill View,453 INR,3.1,Cafe in Gangtok with great experience
198,Luxury Hills Resort 276,Resort,Stay,Darjeeling,Tea Garden,3221 INR,3.1,Resort in Darjeeling with great experience
199,Luxury Hills Resort 16,Resort,Stay,Gangtok,MG Marg,5588 INR,3.6,Resort in Gangtok with great experience
200,Mountain Nest 277,Homestay,Stay,Darjeeling,Tea Garden,5691 INR,4.0,Homestay in Darjeeling with great experience
201,Forest Resort 503,Resort,Stay,Kalimpong,Forest Area,5510 INR,3.4,Resort in Kalimpong with great experience
202,Hill Stay Inn 777,Hotel,Stay,Darjeeling,Forest Area,4822 INR,3.9,Hotel in Darjeeling with great experience
203,Peak Residency 910,Hotel,Stay,Darjeeling,Tea Garden,1261 INR,4.9,Hotel in Darjeeling with great experience
204,Mountain Nest 998,Homestay,Stay,Darjeeling,Hill View,7436 INR,4.3,Homestay in Darjeeling with great experience
205,Pahari Homestay 251,Homestay,Stay,Kurseong,City Center,6363 INR,4.0,Homestay in Kurseong with great experience
206,Skyline Hotel 204,Hotel,Stay,Kurseong,Mall Road,2051 INR,4.8,Hotel in Kurseong with great experience
207,Hilltop Cafe 633,Cafe,Food,Gangtok,MG Marg,495 INR,4.3,Cafe in Gangtok with great experience
208,Luxury Hills Resort 460,Resort,Stay,Gangtok,MG Marg,1889 INR,3.0,Resort in Gangtok with great experience
209,Himalayan Dine 558,Restaurant,Food,Kurseong,Hill View,794 INR,4.6,Restaurant in Kurseong with great experience
210,Pahari Homestay 823,Homestay,Stay,Gangtok,Hill View,2810 INR,3.4,Homestay in Gangtok with great experience
211,Mountain Style 107,Clothing Store,Shopping,Darjeeling,Hill View,,3.5,Clothing Store in Darjeeling with great experience
212,Himalayan Wear 582,Clothing Store,Shopping,Darjeeling,Tea Garden,,4.6,Clothing Store in Darjeeling with great experience
213,Mountain Style 661,Clothing Store,Shopping,Darjeeling,Tea Garden,,3.5,Clothing Store in Darjeeling with great experience
214,Trekking 363,Activity,Experience,Kalimpong,Forest Area,,3.9,Activity in Kalimpong with great experience
215,Cloud9 Cafe 717,Cafe,Food,Kalimpong,Mall Road,322 INR,3.4,Cafe in Kalimpong with great experience
216,Himalayan Wear 923,Clothing Store,Shopping,Gangtok,Hill View,,3.6,Clothing Store in Gangtok with great experience
217,Hotel Green View 871,Hotel,Stay,Gangtok,MG Marg,2675 INR,4.5,Hotel in Gangtok with great experience
218,Valley View Stay 920,Homestay,Stay,Gangtok,MG Marg,1096 INR,4.5,Homestay in Gangtok with great experience
219,Mountain Nest 125,Homestay,Stay,Kalimpong,Hill View,5799 INR,3.7,Homestay in Kalimpong with great experience
220,Taste of Hills 202,Restaurant,Food,Mirik,City Center,452 INR,3.0,Restaurant in Mirik with great experience
221,Himalayan Dine 884,Restaurant,Food,Gangtok,MG Marg,666 INR,3.7,Restaurant in Gangtok with great experience
222,Monastery 49,Attraction,Experience,Dooars,Tea Garden,,4.0,Attraction in Dooars with great experience
223,Cloud9 Cafe 463,Cafe,Food,Gangtok,MG Marg,470 INR,3.4,Cafe in Gangtok with great experience
224,Forest Resort 691,Resort,Stay,Kurseong,Mall Road,3705 INR,4.4,Resort in Kurseong with great experience
225,Pahari Homestay 311,Homestay,Stay,Lava,Forest Area,7635 INR,3.6,Homestay in Lava with great experience
226,Winter Hub 65,Clothing Store,Shopping,Kalimpong,Forest Area,,3.6,Clothing Store in Kalimpong with great experience
227,Cloud9 Cafe 715,Cafe,Food,Gangtok,MG Marg,831 INR,4.2,Cafe in Gangtok with great experience
228,Hilltop Cafe 687,Cafe,Food,Dooars,Forest Area,113 INR,3.1,Cafe in Dooars with great experience
229,Himalayan Wear 225,Clothing Store,Shopping,Lava,City Center,,3.1,Clothing Store in Lava with great experience
230,Safari 969,Activity,Experience,Dooars,Forest Area,,3.4,Activity in Dooars with great experience
231,Luxury Hills Resort 329,Resort,Stay,Darjeeling,Mall Road,2026 INR,4.9,Resort in Darjeeling with great experience
232,Pahari Homestay 511,Homestay,Stay,Lava,City Center,4286 INR,3.0,Homestay in Lava with great experience
233,Skyline Hotel 266,Hotel,Stay,Kalimpong,Forest Area,4053 INR,3.2,Hotel in Kalimpong with great experience
234,Himalayan Wear 25,Clothing Store,Shopping,Dooars,Tea Garden,,4.6,Clothing Store in Dooars with great experience
235,Spice Route 781,Restaurant,Food,Lava,City Center,418 INR,4.2,Restaurant in Lava with great experience
236,Sunrise Coffee 238,Cafe,Food,Kalimpong,City Center,130 INR,4.2,Cafe in Kalimpong with great experience
237,Himalayan Dine 50,Restaurant,Food,Mirik,City Center,713 INR,4.9,Restaurant in Mirik with great experience
238,Peak Residency 444,Hotel,Stay,Lava,Hill View,1688 INR,3.5,Hotel in Lava with great experience
239,Mountain Nest 22,Homestay,Stay,Darjeeling,Hill View,7410 INR,4.5,Homestay in Darjeeling with great experience
240,Winter Hub 298,Clothing Store,Shopping,Darjeeling,Hill View,,4.3,Clothing Store in Darjeeling with great experience
241,Safari 343,Activity,Experience,Dooars,City Center,,4.6,Activity in Dooars with great experience
242,Boating 217,Activity,Experience,Mirik,Mall Road,,3.2,Activity in Mirik with great experience
243,Winter Hub 258,Clothing Store,Shopping,Darjeeling,Hill View,,3.2,Clothing Store in Darjeeling with great experience
244,Pahari Homestay 682,Homestay,Stay,Dooars,City Center,1720 INR,4.1,Homestay in Dooars with great experience
245,Winter Hub 36,Clothing Store,Shopping,Kurseong,Forest Area,,3.8,Clothing Store in Kurseong with great experience
246,Toy Train Ride 5,Activity,Experience,Darjeeling,City Center,,4.5,Activity in Darjeeling with great experience
247,Winter Hub 719,Clothing Store,Shopping,Kalimpong,Forest Area,,3.7,Clothing Store in Kalimpong with great experience
248,Winter Hub 595,Clothing Store,Shopping,Darjeeling,Mall Road,,3.4,Clothing Store in Darjeeling with great experience
249,Taste of Hills 65,Restaurant,Food,Gangtok,MG Marg,592 INR,4.4,Restaurant in Gangtok with great experience
250,Hilltop Cafe 368,Cafe,Food,Gangtok,Mall Road,441 INR,4.9,Cafe in Gangtok with great experience
251,Mountain Style 148,Clothing Store,Shopping,Dooars,Forest Area,,4.2,Clothing Store in Dooars with great experience
252,Lake 930,Attraction,Experience,Gangtok,MG Marg,,3.2,Attraction in Gangtok with great experience
253,Tea Garden Resort 474,Resort,Stay,Mirik,City Center,2935 INR,4.7,Resort in Mirik with great experience
